element_type,ep_next,ep_this,event_points,form,id,now_cost,points_per_game,selected_by_percent,status,team,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,position,goal_involvements,money_value,performance
MID,0.5,1.0,0,1.0,600,5.0,1.6,0.0,a,Brighton,36,8,0.2,1.6,Ayari,198,0,0,1,1,0,0,0,0,0,0,0,29,38.4,42.9,56.0,13.8,1,0.54,0.40,0.94,2.63,273,179,125,217,0.25,0.0,0.18,0.43,1.2,0.45,0.45,0.45,Midfielder,0.0,1.6,-0.94
MID,5.3,5.8,11,5.8,618,5.5,4.2,0.2,a,Brighton,36,25,1.1,4.5,Georginio,298,2,1,1,8,0,0,0,0,0,0,1,64,65.2,61.2,116.0,23.6,4,1.24,0.43,1.67,7.98,199,131,55,115,0.37,0.0,0.13,0.5,2.41,2.42,1.21,0.3,Midfielder,3.0,4.545454545454546,1.33
DEF,-0.3,0.2,0,0.2,628,4.5,0.3,0.2,a,Brighton,36,1,0.0,0.2,F.Kadıoğlu,138,0,0,0,6,0,0,0,0,0,0,0,2,36.6,58.0,8.0,10.2,2,0.03,0.21,0.24,5.12,276,140,284,255,0.02,0.0,0.14,0.16,3.34,3.91,1.3,0.0,Defender,0.0,0.2222222222222222,-0.24
DEF,-0.5,0.0,0,0.0,663,4.0,0.0,0.0,a,Brighton,36,0,0.0,0.0,Samuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,462,446,403,466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
DEF,-0.5,0.0,0,0.0,153,4.3,0.0,0.1,a,Chelsea,8,0,0.0,0.0,B.Badiashile,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,502,486,451,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
GKP,-0.5,0.0,0,0.0,154,4.0,0.0,0.3,a,Chelsea,8,0,0.0,0.0,Bergström,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,470,454,411,474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0
GKP,-0.5,0.0,0,0.0,155,4.0,0.0,0.4,a,Chelsea,8,0,0.0,0.0,Bettinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,431,414,370,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0
MID,2.5,3.0,1,3.0,157,4.9,2.4,1.0,a,Chelsea,8,17,0.6,3.5,Caicedo,615,0,1,2,8,0,0,0,2,0,0,0,110,138.8,91.0,14.0,24.4,7,0.15,0.78,0.93,7.60,74,86,246,112,0.02,0.0,0.11,0.13,1.11,1.17,1.02,0.29,Midfielder,1.0,3.4693877551020407,0.06999999999999995
MID,-0.5,0.0,0,0.0,158,4.5,0.0,0.1,a,Chelsea,8,0,0.0,0.0,Casadei,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,578,575,555,582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0
DEF,-0.5,0.0,0,0.0,160,4.8,0.0,0.5,a,Chelsea,8,0,0.0,0.0,Chilwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,606,603,589,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0
